Spolka;Sektor;Kurs zamkniecia;Rating;ZScore;Free Float;Potencjal zm. wg sredniej;Wartosc ksiegowa;Wartosc skorygowanych aktywow netto;Wartosc likwidacyjna wg J.Wilcoxa;Wartosc renty wieczystej;Wartosc zyskow dodatkowych;Wartosc metoda berlinska;Wartosc metoda szwajcarska;wg Ceny do wartości ksiegowej;wg Ceny do zysku operacyjnego;wg Ceny do przychodow;wg Wskaznika EV/EBIT;wg Wskaznika EV/Przychody;Wyliczona srednia;Stopa dywidendy za okres;Stopa dywidendy
EUROTEL;Handel detaliczny;14,2;A                        ;6,79;29,6909628613848;+84%;11,23;5,58;3,97;20;20,51;15,62;17,08;23,97;31,26;37,8;39,68;57,2;26,08;2014-01-01 - 2014-12-31;6,94%
EVEREST;Inne;0,58;AAA                      ;107,46;37,9890142041132;+117%;1,61;0,25;0,91;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,82;Wycena niemozliwa;0,89;Wycena niemozliwa;0,97;1,26; - ;brak
FAMUR;Elektromasz.;1,7;AAA                      ;9,76;12,7001254413292;-22%;1,83;1,35;0,82;1,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,85;1,7;1,5;2,22;1,93;1,32;2013-01-01 - 2014-12-31;17,07%
FARMACOL;Handel hurtowy;50,6;A-                       ;6,45;34,0407521367521;+12%;52,38;47,8;14,26;49,7;55,8;Wycena niemozliwa;Wycena niemozliwa;51,07;32,17;72,49;44,86;104,73;56,71; - ;brak
FASING;Metalowy;16,99;BBB+                     ;6,35;39,8807112014518;> +250%;46,68;45,85;13,25;37,7;61,65;Wycena niemozliwa;Wycena niemozliwa;55,09;75,67;55,87;60,31;47,66;61,19;2014-01-01 - 2014-12-31;4,48%
FASTFIN;Inne;0,82;XXX;9,01;14,963768;> +250%;2,36;2,36;-1,21;4;3,87;3,18;3,45;2,66;5,26;5,7;7,32;4,01;4,18; - ;brak
FEERUM;Metalowy;18,49;BBB                      ;6,12;14,4196174510239;-41%;10,88;6,44;3,04;11,4;13,3;11,14;11,23;12,84;12,99;7,66;11,27;6,79;10,99;2014-01-01 - 2014-12-31;1,13%
FERRO;Mat. budowlanych;11;AA-                      ;7,02;38,7991943568259;-1%;8,91;1,77;2,41;10,2;11,42;9,56;9,77;8,38;17,98;6,95;22;6,67;10,89;2014-01-01 - 2014-12-31;7,82%
FON;Inne;0,6;AAA                      ;13,76;23,1918463157895;> +250%;2,32;2,32;1,14;Wycena niemozliwa;2,46;Wycena niemozliwa;Wycena niemozliwa;2,62;Wycena niemozliwa;0,16;Wycena niemozliwa;0,08;2,39; - ;brak
FORTE;Drzewny;50,5;AAA                      ;8,73;40,4237774320194;-35%;18,78;18,21;7,86;33,49;28,55;26,08;28,55;24,95;48,13;35,88;53,98;190,32;32,98;2014-01-01 - 2014-12-31;3,28%
GLCOSMED;Farmaceutyczny;3,98;A-                       ;6,45;7,2364154300172;+6%;1,94;1,9;0,45;2,2;1,97;2,07;2,11;3,94;6,25;10,89;5,01;9,49;4,23;2014-01-01 - 2014-12-31;1,97%
GPW;Rynek kapitałowy;33,67;AAA                      ;11,24;65,0041217954827;-7%;16,54;10,25;9,15;28,5;20,4;22,52;24,51;51,44;37,41;26,26;33,23;64,04;31,18;2014-01-01 - 2014-12-31;4,96%
GRAAL;Spożywczy;25;BB                       ;5,05;33,3782660800585;+98%;36,07;27,55;8,55;36;41,25;Wycena niemozliwa;Wycena niemozliwa;67,15;31,34;68,2;41,32;101,21;49,59; - ;brak
GRAJEWO;Drzewny;22,75;AA-                      ;7,01;10,5017870896507;-21%;9,97;11,26;4,39;16,95;13,39;12,3;13,85;13,24;27,67;22,56;32,09;120,91;18,05;2007-01-01 - 2007-12-31;14,80%
GRAVITON;Rynek kapitałowy;0,24;D                        ;-23,99;40,0475151515151;+73%;0,57;0,57;0,26;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,76;Wycena niemozliwa;0,37;Wycena niemozliwa;0,68;0,42;2007-01-01 - 2007-12-31;5,00%
GREMINWES;Inne;1,53;AAA                      ;14,64;53,0043463484585;> +250%;9,57;8,78;4,55;1,7;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;10,83;1,34;7,33;1,81;6,98;7,06;2012-01-01 - 2012-12-31;137398,35%
GROCLIN;Motoryzacyjny;11;B                        ;4,24;47,5044077612529;+34%;13,37;7,85;3,1;19;Wycena niemozliwa;16,18;17,12;27,25;Wycena niemozliwa;34,64;Wycena niemozliwa;33,25;14,78;2001-01-01 - 2001-12-31;1,18%
GRODNO;Handel hurtowy;5,57;B+                       ;4,57;24,1689415864569;-25%;2,83;2,75;-0,92;4,4;5,31;3,62;3,88;2,76;4,15;5,3;4,43;6;4,16;2014-01-01 - 2014-12-31;2,14%
GRUPAAZOTY;Chemiczny;92,5;AA+                      ;7,9;22,688293954995;-47%;70,55;65,14;27,1;52,45;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;133,43;67,26;89,32;78,2;103,38;48,82;2013-01-01 - 2013-12-31;0,27%
HANDLOWY;Banki;74,26;B                        ;4,4;25;-31%;51,33;40,82;-60,38;51,46;Wycena niemozliwa;51,39;51,42;44,01;74,31;32,58;Wycena niemozliwa;Wycena niemozliwa;51,36;2014-01-01 - 2014-12-31;7,33%
HARPER;Inne;1,17;CCC+                     ;3,45;12,0479739280666;+10%;1,33;1,21;-0,44;0,6;1,35;Wycena niemozliwa;Wycena niemozliwa;1,95;1,52;6,06;0,53;6,81;1,28; - ;brak
HAWE;Telekomunikacja;0,85;XXX;3,18;94,6257359302564;+52%;1,92;1,91;0,67;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,88;Wycena niemozliwa;2,2;Wycena niemozliwa;2,73;1,30; - ;brak
HELIO;Handel hurtowy;3,34;AA+                      ;7,71;22,86;+109%;9,92;9,92;4,01;2,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,67;3,08;6,03;3,16;7,51;6,96; - ;brak
HERKULES;Budownictwo;3,7;BB+                      ;5,52;64,2958329167832;-26%;4,77;4,34;0,68;4,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,54;4,92;7,33;4,97;0,6;2,72;2014-01-01 - 2014-12-31;1,47%
HUBSTYLE;Media;1,97;AAA                      ;9,56;34,1535507438755;-66%;0,78;0,43;0,56;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1;Wycena niemozliwa;0,71;Wycena niemozliwa;1,03;0,67; - ;brak
HUTMEN;Metalowy;5,6;BBB-                     ;5,65;10,8999514382369;+26%;10,73;10,7;3,42;3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;12,67;9,72;28,3;5,79;29,47;7,08; - ;brak
HYDROTOR;Elektromasz.;35,8;AAA                      ;8,64;58,5305841637827;+20%;34,48;34,45;14,86;32,8;43,21;Wycena niemozliwa;Wycena niemozliwa;53,62;37,69;30,73;50,04;40,36;42,81;2014-01-01 - 2014-12-31;5,26%
IFCAPITAL;Inne;1;XXX;-5,29;49,9435401184818;+183%;3,41;3,41;2,31;Wycena niemozliwa;3,62;Wycena niemozliwa;Wycena niemozliwa;3,86;1,16;0,9;2,59;1,5;2,83;2014-01-01 - 2014-12-31;8,08%
IFSA;Mat. budowlanych;0,55;D                        ;-2,5;46,4309856539301;+4%;0,4;0,4;0,18;Wycena niemozliwa;0,74;Wycena niemozliwa;Wycena niemozliwa;0,37;Wycena niemozliwa;0,01;Wycena niemozliwa;0,01;0,57;2007-01-01 - 2007-12-31;3,27%
IMCOMPANY;Spożywczy;6;AAA                      ;8,45;26,2851309904153;+211%;3,73;2,89;-3,67;Wycena niemozliwa;14,04;Wycena niemozliwa;Wycena niemozliwa;6,94;42,19;10,06;46,34;2,54;18,63; - ;brak
IMMOBILE;;2,8;BB+                      ;5,55;17,0466115747305;-57%;2,03;2,02;0,35;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;0;Wycena niemozliwa;0;Wycena niemozliwa;Wycena niemozliwa;1,19; - ;brak
IMPEL;Inne;29,12;B+                       ;4,6;22,9534346865185;+11%;24,31;17,6;-0,63;23,3;28,04;Wycena niemozliwa;Wycena niemozliwa;52,53;39,7;284,4;19,82;233,55;32,26;2014-01-01 - 2014-12-31;4,84%
IMPERA;Inne;1,32;AAA                      ;16,16;33,2821489361702;+77%;2,81;2,81;1,87;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,18;Wycena niemozliwa;0,69;Wycena niemozliwa;0,63;2,34;2004-01-01 - 2004-12-31;36,34%
IMPEXMET;Metalowy;2,07;AA+                      ;7,89;34,7523685;+121%;6,7;6,66;2,46;5,59;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;7,91;7,16;10,69;5,75;11,03;4,58;2011-01-01 - 2011-12-31;7,49%
IMS;Inne;2;AAA                      ;9,43;22,1943450719054;-17%;0,55;0,49;0,29;1,8;1;1,17;1,38;1,19;2,38;2,43;2,59;2,31;1,66;2014-01-01 - 2014-12-31;3,36%
INC;Inne;2,1;AAA                      ;20,17;64,9926364292213;+78%;4,3;4,25;3,19;2,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,29;3,32;0,14;4,53;1,25;3,74; - ;brak
INDATA;Informatyka;0,9;AAA                      ;9,05;37,9836486725056;+110%;0,96;0,53;0,46;1,7;1,52;1,33;1,45;2,7;1,92;2,93;2,16;3,34;1,89; - ;brak
INDYKPOL;Spożywczy;81,6;A                        ;6,72;24,5201152184349;+18%;63,61;62,49;3,74;83,3;82,08;73,46;76,74;118,43;82,81;230,39;77,43;312,02;96,09;2014-01-01 - 2014-12-31;1,03%
INGBSK;Banki;108,7;B                        ;4,27;19,1575710991545;-23%;82,09;78,87;-160,48;86,6;Wycena niemozliwa;84,34;85,1;70,39;115,29;80,49;Wycena niemozliwa;61,71;83,22;2014-01-01 - 2014-12-31;2,72%
INPRO;Deweloperzy;4,48;AAA                      ;9,48;12,3184215784216;+100%;5,48;5,31;2,3;5,4;6,73;Wycena niemozliwa;Wycena niemozliwa;3,74;9,18;15,28;9,64;20,61;8,98;2014-01-01 - 2014-12-31;2,20%
INSTALKRK;Budownictwo;11,49;AA-                      ;7,13;69,3299293116464;+75%;28,51;27,68;11,76;3,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;33,08;7,81;148,84;13,15;57,92;20,14;2013-01-01 - 2013-12-31;1,17%
INTEGERPL;Inne;75,7;AA-                      ;7,24;45,3411078026284;+14%;121,97;97,53;50,92;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;263,48;Wycena niemozliwa;171,08;Wycena niemozliwa;137,86;86,44; - ;brak
INTERAOLT;Energetyka;19,05;AAA                      ;10,08;20;+170%;4,12;2,39;-0,41;101,6;11,18;52,86;69,11;3,89;51,33;75,1;100,92;144,67;51,48;2014-01-01 - 2014-12-31;12,21%
INTERBUD;Budownictwo;0,95;XXX;4,46;33,3693557582668;> +250%;4,17;4,01;-2,14;7,6;5,19;5,88;6,46;4,84;8,91;32,85;6,39;5,87;5,51;2011-01-01 - 2011-12-31;8,24%
INTERCARS;Handel hurtowy;235,1;AA+                      ;7,86;33,2347880096837;-54%;85;72,54;23,24;129,9;120,6;107,45;114,93;82,87;111,95;93,11;126,73;93,24;107,32;2014-01-01 - 2014-12-31;0,31%
INTERFERI;Hotele i restauracje;4,49;AAA                      ;10,5;17,1970036115956;+27%;7,93;7,88;3,46;3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;16,11;6,22;4,39;6,87;5,11;5,70;2012-01-01 - 2012-12-31;2,09%
INTROL;Elektromasz.;8,14;BBB                      ;6,15;54,7573914740904;-22%;5,47;5,23;1,49;8,5;8,78;6,98;7,49;8,51;6,99;12,93;0,72;8,88;6,35;2014-01-01 - 2014-12-31;2,38%
INVISTA;Inne;2,11;BBB-                     ;5,74;35,4817258564191;-5%;3,05;3,05;0,97;0,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,46;1,16;0,26;1,84;0,1;2,01; - ;brak
IPOPEMA;Rynek kapitałowy;2,53;A                        ;6,84;46,6716766034793;-29%;2,77;2,69;0,81;0,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,61;1,28;10,86;2,4;26,89;1,79;2013-01-01 - 2013-12-31;5,31%
IQP;Inne;0,69;BB+                      ;5,61;36,1061289312397;+44%;1,39;1,21;0,6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,57;Wycena niemozliwa;4,33;Wycena niemozliwa;4,32;1,00; - ;brak
IVMX;Informatyka;5,99;BB+                      ;5,35;0;+58%;14,17;2,7;4,7;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;39,88;Wycena niemozliwa;42,95;Wycena niemozliwa;44,75;9,44;2011-01-01 - 2011-12-31;5,22%
IZOBLOK;Tworzyw sztucznych;150;AA-                      ;7,03;34,5232;-41%;50,36;49,94;15,22;86,1;79,3;68,23;74,19;65,76;161,79;61,92;193,09;57,28;88,03; - ;brak
IZOLACJA;Mat. budowlanych;1,07;A+                       ;6,94;48,9167368421053;+54%;2,38;2,38;0,92;0,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,24;0,9;2,88;1,39;3,97;1,65; - ;brak
IZOSTAL;Mat. budowlanych;4,2;BBB                      ;5,91;39,7172000977278;-22%;4,98;4,97;1,6;1,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,68;1,58;3,51;0,66;3,15;3,29;2014-01-01 - 2014-12-31;1,39%
JHMDEV;Deweloperzy;0,86;AAA                      ;10,47;7,97599710982659;> +250%;4,39;4,37;2,21;1,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3;2,36;3,84;2,07;4,76;3,30; - ;brak
JWCONSTR;Deweloperzy;3,98;B                        ;4,41;30,7308340881678;-9%;6,89;6,76;0,38;0,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,75;2,38;8,05;1,52;10,15;3,64; - ;brak
K2INTERNT;Media;15,8;BBB+                     ;6,39;51,8645635146751;-58%;10,48;6,13;2,74;2,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;13,55;4,84;37,31;1,9;38,02;6,61;2014-01-01 - 2014-12-31;8,67%
KANIA;Spożywczy;1,9;AA+                      ;7,61;26,858523072312;+55%;1,63;1,25;-0,14;3;3,52;2,31;2,54;3,04;3,21;4,74;2,72;5,43;2,94;2003-01-01 - 2003-12-31;15,95%
KBDOM;Mat. budowlanych;2,78;B-                       ;4,02;38,1816487606844;+139%;9,9;1,69;3,41;3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,3;4,41;7,5;5,97;9,9;6,66; - ;brak
KCI;Deweloperzy;0,03;AAA                      ;8,17;20,5633286365747;> +250%;0,24;0,06;0,11;0,11;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;0,16;Wycena niemozliwa;0,1;Wycena niemozliwa;0,1;0,18; - ;brak
KERNEL;Spożywczy;43,53;AAA                      ;9,22;60,7858750020864;+50%;42,41;34,43;14,93;45,1;77,67;43,76;44,2;78,95;96,87;59,86;117,69;73,05;65,11;2014-01-01 - 2014-12-31;2,28%
KETY;Metalowy;281;AAA                      ;8,63;49,9834356917209;-35%;129,97;121,43;46,25;192,3;194,42;161,14;171,52;153,38;264,23;141,5;250,47;142,09;184,04;2014-01-01 - 2014-12-31;4,54%
KGHM;Surowcowy;58,28;AA-                      ;7,22;68,20505;+41%;131,76;114,62;32,63;87,52;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;43,15;60,27;44,97;41,41;252,88;82,20;2014-01-01 - 2014-12-31;3,14%
KINOPOL;Media;12,42;AAA                      ;11,66;20,169469327198;-44%;3,48;3,37;1,87;4,74;4,68;4,11;4,32;4,5;16,8;6,2;12,69;7,13;6,93;2014-01-01 - 2014-12-31;6,97%
KOFOLA;Spożywczy;56,6;B-                       ;4,05;0,198495355814183;-60%;17,36;9,76;-0,5;19;19,92;18,18;18,45;32,31;19,32;25,55;20,34;32,16;22,48;2014-01-01 - 2014-12-31;0,25%
KOGENERA;Energetyka;69,98;A-                       ;6,47;24,9731744966443;+12%;88,55;85,56;25,25;61;96,38;Wycena niemozliwa;Wycena niemozliwa;83,61;39;32,72;74,73;60,94;78,71;2011-01-01 - 2011-12-31;5,58%
KOMPAP;Drzewny;9,7;BBB                      ;6,01;20,3600430381737;+86%;11,02;10,99;2,55;8;18,67;Wycena niemozliwa;Wycena niemozliwa;14,64;22,24;12,42;23,42;63,98;18,00;2001-01-01 - 2001-12-31;1,49%
KOMPUTRON;Handel detaliczny;6,04;BB+                      ;5,29;44,6741129058291;> +250%;17,17;12,63;-2,95;17,3;Wycena niemozliwa;17,24;17,26;36,66;34,32;133,16;36,49;193,14;25,24;2014-01-01 - 2014-12-31;7,16%
KONSSTALI;Handel hurtowy;31;BB                       ;5,05;50,0781613109057;+2%;51,34;34,71;11,89;30,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;50,06;29,56;57,12;28,47;69,07;31,62;2014-01-01 - 2014-12-31;3,49%
KOPEX;Elektromasz.;3,71;AA+                      ;7,92;24,8381980445764;> +250%;34,71;15,86;14,26;3,19;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;53,99;3,86;13,7;Wycena niemozliwa;12,27;24,48;2014-01-01 - 2014-12-31;4,80%
KPPD;Drzewny;22,5;BB                       ;5,04;11,2912968441815;-1%;38,66;38,62;5,73;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;51,36;7,54;153,76;8;827,89;22,20;2007-01-01 - 2007-12-31;6,46%
KRAKCHEM;Handel hurtowy;3,56;A-                       ;6,4;24,7220555555556;+54%;8,85;7,68;2,12;6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,63;5,75;17,45;6,19;23,71;5,48; - ;brak
KREC;Inne;6,8;BB+                      ;4,16;31,9807371659387;-17%;4,02;2,4;-1,24;3,2;4,08;Wycena niemozliwa;Wycena niemozliwa;5,88;8,18;7,41;7,71;6,54;5,65; - ;brak
KREDYTIN;Inne;20;AAA                      ;9,35;42,0409014518523;+65%;19,15;18,07;4,74;32,4;31,65;25,78;27,98;21,67;48,1;42,67;59,88;20,1;32,98;2010-01-01 - 2010-12-31;2,61%
KREZUS;Inne;2,93;D                        ;-10,61;15,172394957848;-95%;0,19;0,19;0,09;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;0,22;Wycena niemozliwa;84,39;Wycena niemozliwa;86,16;0,14; - ;brak
KRUK;Inne;167;AAA                      ;11,71;62,5213727188351;-38%;42,42;41,79;14,28;106,9;88,53;74,66;85,41;48;119,84;172,69;163,83;132,56;103,24;2014-01-01 - 2014-12-31;0,94%
KRUSZWICA;Spożywczy;47,3;AAA                      ;11,57;10,5196692262205;+16%;34,84;30,45;21,23;49,7;48,65;42,27;44,75;64,87;42,05;63,33;66,86;104,31;54,95;2014-01-01 - 2014-12-31;8,43%
LCCORP;Deweloperzy;1,75;BBB+                     ;6,3;23,9811245511649;-3%;2,95;2,95;0,44;2,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,02;5,11;3,09;4,34;2,78;1,70; - ;brak
LENA;Elektromasz.;3,89;AAA                      ;15,76;28,8959177971502;+13%;3,64;3,64;2,11;3,8;4,42;3,72;3,75;5,67;4,63;3,95;6,4;5,46;4,41;2014-01-01 - 2014-12-31;5,96%
LENTEX;Tworzyw sztucznych;7,77;AA                       ;7,42;25,2889062983972;+5%;6,93;5,87;2,75;7,57;Wycena niemozliwa;7,24;7,35;9,05;11,65;5,46;14,15;5,59;8,13;2014-01-01 - 2014-12-31;5,01%
LIBET;Mat. budowlanych;1,73;BBB                      ;6,24;34,162292;+55%;4,49;3,43;0,86;1,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,22;3,28;2,97;2,38;1,84;2,68;2011-01-01 - 2011-12-31;9,98%
LIVECHAT;Informatyka;35,2;AAA                      ;23,7;22,2155339805825;-87%;0,84;0,7;0,71;1,12;1,32;0,98;1,02;2,35;13,35;4,37;16,16;5,73;4,71;2014-01-01 - 2014-12-31;2,43%
LOTOS;Paliwowy;24,1;BBB-                     ;5,7;40,4622094772096;-8%;38,26;35,93;5,91;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;34,28;Wycena niemozliwa;39,44;Wycena niemozliwa;30,08;22,08;2006-01-01 - 2006-12-31;0,76%
LPP;Handel detaliczny;5064,95;A-                       ;6,44;69,9638242443496;-56%;945,83;813,99;229,29;2313,84;1871,84;1628,78;1857,13;2018,76;3737,56;1516;4251,74;1844,06;2236,80;2014-01-01 - 2014-12-31;0,41%
LSISOFT;Informatyka;4,65;AA+                      ;8;55,7315743988675;+9%;6,9;3,58;3,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;19,43;4,38;18,71;5,22;21,89;5,05; - ;brak
LUBAWA;Lekki;0,9;AA-                      ;7,03;66,7800183032854;+30%;1,85;1,36;0,49;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,05;0,36;1,59;Wycena niemozliwa;1,07;1,17;2008-01-01 - 2008-12-31;3,66%
MABION;Farmaceutyczny;44;D                        ;1,51;39,745940860215;-90%;8,28;8,55;0,76;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;16,84;Wycena niemozliwa;0,45;Wycena niemozliwa;0,58;4,52; - ;brak
MAGELLAN;Inne;62,8;BB+                      ;5,27;46,4062623464722;-12%;51,08;50,97;-35,46;67,6;Wycena niemozliwa;59,34;62,09;57,8;70,85;129,39;Wycena niemozliwa;Wycena niemozliwa;55,21;2014-01-01 - 2014-12-31;3,06%
MAKARONPL;Spożywczy;5,61;BB+                      ;5,45;33,0480382258687;+48%;7,54;5,83;1,56;5,3;8,08;Wycena niemozliwa;Wycena niemozliwa;14,04;6,01;8,78;5,85;10,79;8,33;2014-01-01 - 2014-12-31;2,84%
MARVIPOL;Inne;5,85;A-                       ;6,56;12,2680837426933;-33%;7,31;7,3;0,51;2,9;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;15,8;7,15;28,09;4,76;22,55;3,91; - ;brak
MBANK;Banki;323,7;B                        ;4,25;25,4630728756253;-9%;290,61;278,32;-542,56;308,8;Wycena niemozliwa;299,7;302,74;249,16;413,06;265,18;Wycena niemozliwa;177,96;295,16;2013-01-01 - 2013-12-31;3,33%
MCI;Inne;10,74;AAA                      ;9,92;39,3594852049832;+23%;18,71;18,43;7,8;6,9;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;21,17;9,06;9,21;13,02;6,72;13,26; - ;brak
MCLOGIC;Informatyka;38,08;AAA                      ;8,97;37,2196711104193;+8%;15,16;6,11;7,08;36,3;24,94;25,73;29,25;42,66;47,62;68,23;57,09;81,1;41,32;2014-01-01 - 2014-12-31;6,69%
MEDIATEL;Telekomunikacja;1,1;B-                       ;3,95;0,305290893113254;+44%;2,61;2,61;0,56;1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,53;1,5;0,81;1,45;0,14;1,58;2008-01-01 - 2008-12-31;1,67%
MEDICALG;Informatyka;195;AAA                      ;22,7;43,4642945820694;-77%;28,46;25,4;17,18;45,9;41,09;37,18;40,09;80,1;52,31;30,11;66,58;40,8;44,81;2014-01-01 - 2014-12-31;0,72%
MENNICA;Metalowy;13,94;AA-                      ;7,13;30,834689686234;-37%;12,69;10,54;4,75;4,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;14,98;11,79;10,33;8,73;8,7;8,72;2014-01-01 - 2014-12-31;2,80%
MERCATOR;Chemiczny;14,95;BBB                      ;6,2;17,4824721753014;-4%;7,92;7,91;1;12,5;13,58;10,21;10,97;14,98;18,77;21,49;17,48;20,39;14,30;2014-01-01 - 2014-12-31;1,39%
MERCOR;Mat. budowlanych;7,4;BB+                      ;5,47;28,4843760926549;-38%;7,75;4,19;1,38;2,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;7,29;6,56;7,11;5,14;5,62;4,56;2015-01-01 - 2015-12-31;8,73%
MEXPOLSKA;Hotele i restauracje;4,6;B-                       ;3,82;32,8305526260998;-33%;1,72;0,54;0,3;2,1;1,98;1,91;1,97;3,49;2,63;9,48;2,55;11,52;3,08; - ;brak
MFO;Mat. budowlanych;12,28;BB+                      ;5,36;32,7868852459016;+26%;8,97;8,95;1,06;14,4;17,17;11,68;12,59;8,43;22,06;18,28;27,46;21,61;15,45;2014-01-01 - 2014-12-31;2,35%
MILLENNIUM;Banki;5,67;B                        ;4,25;36,0089091406573;-9%;5,07;5,02;-9,2;5,4;Wycena niemozliwa;5,24;5,29;4,34;7,33;5,52;Wycena niemozliwa;11,74;5,16;2013-01-01 - 2013-12-31;2,44%
MIT;Media;0,14;D                        ;-2,09;43,626181198435;+214%;0,83;-0,12;0,05;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,07;Wycena niemozliwa;0,6;Wycena niemozliwa;0,37;0,44;2005-01-01 - 2005-12-31;5,62%
MLPGROUP;Deweloperzy;37,36;BBB+                     ;6,34;20,8333344835039;-8%;34,58;34,58;4,82;42,7;53,29;38,64;39,99;23,64;58,46;19,44;43,69;3,48;34,33; - ;brak
MNI;Telekomunikacja;0,9;B+                       ;4,55;31,4884996741111;+105%;3,35;1,65;0,34;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,25;1,36;2,26;1,46;2,42;1,84;2014-01-01 - 2014-12-31;11,65%
MOJ;Elektromasz.;0,8;BB+                      ;5,4;53,257131239141;+201%;3,8;3,54;1,02;0,6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,91;2,27;5,45;1,31;5,69;2,41;2008-01-01 - 2008-12-31;2,37%
MONNARI;Handel detaliczny;14;AAA                      ;17,91;57,714444374389;-30%;5,01;5;3,15;15,5;7,78;10,26;12;10,7;13,7;3,67;18,14;6,48;9,81; - ;brak
MOSTALPLC;Budownictwo;13,2;AA                       ;7,33;31,12975;+2%;18,46;18,35;8,39;4,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;21,41;3,75;108,34;6,94;42,33;13,42;2014-01-01 - 2014-12-31;7,13%
MOSTALZAB;Budownictwo;1,18;BBB+                     ;6,27;51,9922163762327;+5%;1,92;1,9;0,55;1,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,23;1,48;10,9;2,16;4,12;1,24;2014-01-01 - 2014-12-31;2,49%
MUZA;Media;4,18;B+                       ;4,57;49,5114127583895;+20%;7,79;5,61;2,22;2,7;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;10,08;5,9;10,19;2,57;9,13;5,00;2002-01-01 - 2002-12-31;8,06%
MWTRADE;Inne;15,65;CCC                      ;2,83;13,9235774840061;-17%;9,39;9,36;-37,33;23,8;Wycena niemozliwa;16,6;19;10,62;26,23;49,11;3,39;8,09;13,00;2014-01-01 - 2014-12-31;5,35%
